Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSRNOG00000014409,Myl7,0.7008958321446165,0.0,0.0,7984,1.2144784132151811,982
ENSRNOG00000020196,Scgb1a1,0.6996978773692564,0.0,0.0,378041,40.79101922490717,4084
ENSRNOG00000002718,Scgb3a1,0.6513350631823545,0.0,0.0,10928,1.09548613873708,807
ENSRNOG00000025757,Myh6,0.5646425243734947,0.0,0.0,2503,0.3753982211944742,514
ENSRNOG00000026912,ENSRNOG00000026912,0.5562565443172186,0.0,0.0,16488,1.7275491726069403,1835
ENSRNOG00000050675,Myl4,0.5516612967527542,0.0,0.0,2424,0.38073764218837763,606
ENSRNOG00000018250,Tnni3,0.5262005031630062,0.0,0.0,1828,0.25378113494710386,427
ENSRNOG00000019851,Cox6a2,0.47404534068362164,0.0,0.0,1000,0.1512895819244215,337
ENSRNOG00000014327,Csrp3,0.46489764971807684,0.0,0.0,951,0.1307965751244946,275
ENSRNOG00000011130,Calca,0.44343294417740015,0.0,0.0,298,0.02594942136495065,55
ENSRNOG00000033734,Tnnt2,0.43820797882938106,0.0,0.0,1222,0.1837128602942855,393
ENSRNOG00000066616,ENSRNOG00000066616,0.4334786521373843,0.0,0.0,5008,0.5000890619176415,958
ENSRNOG00000068106,Tcap,0.43214452118234964,0.0,0.0,1210,0.16315955957141715,372
ENSRNOG00000018943,Tnnc1,0.4286660662217865,0.0,0.0,1070,0.17375174956279912,376
ENSRNOG00000004583,Mb,0.41730104493211295,0.0,0.0,950,0.13916045576710578,291
ENSRNOG00000049829,AABR07060872.1,0.4009888211680596,0.0,0.0,14870,2.7738717290727224,2666
ENSRNOG00000047746,AABR07000398.1,0.3720961500955827,0.0,0.0,53110,15.15872303771517,4098
ENSRNOG00000008536,Actc1,0.3571456519529476,0.0,0.0,1787,0.24277760281884275,592
ENSRNOG00000033162,Chia,0.3460511088528608,0.0,0.0,1968,0.2595355439703841,739
ENSRNOG00000012879,Fabp3,0.33854750052180616,0.0,0.0,509,0.07027625841265496,216
ENSRNOG00000009047,Sln,0.32574466506409794,0.0,0.0,428,0.058146256048656975,170
ENSRNOG00000069271,Ttn,0.3096479227734778,0.0,0.0,637,0.11652826365158574,311
ENSRNOG00000015468,Bpifb1,0.3051029873462736,0.0,0.0,900,0.08537646475618595,261
ENSRNOG00000014739,Wfdc2,0.2971872571659706,0.0,0.0,16129,2.2235344752474333,3130
ENSRNOG00000021029,Hamp,0.29163124212214314,0.0,0.0,348,0.05183814002320055,167
ENSRNOG00000000525,Pi16,0.28696968928028727,0.0,0.0,1879,0.2656333488704216,830
ENSRNOG00000019846,Muc5b,0.28441732751203885,0.0,0.0,610,0.06350183562552579,205
ENSRNOG00000002873,Fam183a,0.2792247173433783,0.0,0.0,1466,0.18157037975766585,621
ENSRNOG00000001955,ENSRNOG00000001955,0.2786746026920158,0.0,0.0,8854,1.662950842324148,2515
ENSRNOG00000016837,Ckm,0.2782317799375357,0.0,0.0,343,0.055892684767297154,176
ENSRNOG00000034190,Ighm,0.27660264468278617,0.0,0.0,5244,0.8900769134755314,1361
ENSRNOG00000017833,Actn2,0.2733204135155404,0.0,0.0,303,0.04725434177832327,152
ENSRNOG00000012307,Mybpc3,0.27307763827967985,0.0,0.0,393,0.06379013706096708,194
ENSRNOG00000055450,Ckmt2,0.2667676052461476,0.0,0.0,209,0.026072809690772983,99
ENSRNOG00000014815,Myoz2,0.2622733423223845,0.0,0.0,211,0.026271939453489213,96
ENSRNOG00000032805,Cyp2f4,0.256303695752214,0.0,0.0,947,0.08675149704148495,304
ENSRNOG00000029886,Hba-a2,0.25526857171873657,0.0,0.0,120938,24.71936035100091,4091
ENSRNOG00000047098,Hbb-b1,0.2478916628414428,0.0,0.0,172991,33.14581574319104,4100
ENSRNOG00000007495,ENSRNOG00000007495,0.2417203396588715,0.0,0.0,213,0.02821659048359756,106
ENSRNOG00000019704,Resp18,0.23561285339054308,0.0,0.0,227,0.020853597444286907,63
ENSRNOG00000012450,Dynlrb2,0.2307542978623508,0.0,0.0,1105,0.12011151246243418,438
ENSRNOG00000068556,Cyp2a3,0.23004273099946862,0.0,0.0,376,0.03141421554212953,138
ENSRNOG00000030371,Mt-co2,0.22987690133746794,0.0,0.0,77735,15.361524901207188,4098
ENSRNOG00000070540,ENSRNOG00000070540,0.22560634687920259,0.0,0.0,938,0.1641176039146121,349
ENSRNOG00000019810,Des,0.22414433330732483,0.0,0.0,2500,0.3690043173353518,1133
ENSRNOG00000068039,ENSRNOG00000068039,0.22059929619545754,0.0,0.0,10885,3.2041643602967205,3564
